DEPCOM_ARM,LIBCOM_DEP,LIBCOM,nb_loues,nb_vacants,nb_vides,nb_asso,nb_occup_finan,nb_occup_temp,nb_ls
74185,Monnetier-Mornex (74),Monnetier-Mornex,19,0,0,0,0,0,19
74186,Montagny-les-Lanches (74),Montagny-les-Lanches,,,,,,,9
74188,Montriond (74),Montriond,48,0,0,0,1,0,49
74189,Mont-Saxonnex (74),Mont-Saxonnex,16,0,2,0,0,0,18
74190,Morillon (74),Morillon,20,0,0,0,0,0,20
74191,Morzine (74),Morzine,,,,,,,5
74193,La Muraz (74),La Muraz,18,0,1,0,0,0,19
74194,Mûres (74),Mûres,,,,,,,5
74195,Musièges (74),Musièges,15,0,0,0,0,0,15
74196,Nancy-sur-Cluses (74),Nancy-sur-Cluses,12,1,0,0,1,0,14
74197,Nangy (74),Nangy,30,1,0,0,0,0,31
74200,Neuvecelle (74),Neuvecelle,84,0,0,0,3,0,87
74201,Neydens (74),Neydens,61,1,1,0,0,0,63
74202,Nonglard (74),Nonglard,12,0,0,0,0,0,12
74205,Onnion (74),Onnion,39,1,0,0,0,0,40
74206,Orcier (74),Orcier,39,0,0,0,0,0,39
74208,Passy (74),Passy,697,7,6,2,7,0,719
74209,Peillonnex (74),Peillonnex,13,2,0,0,0,0,15
74210,Perrignier (74),Perrignier,38,0,0,1,0,0,39
74211,Pers-Jussy (74),Pers-Jussy,52,1,1,0,0,0,54
74212,Glières-Val-de-Borne (74),Glières-Val-de-Borne,26,1,0,0,1,0,28
74213,Poisy (74),Poisy,635,1,0,2,6,0,644
74215,Praz-sur-Arly (74),Praz-sur-Arly,30,0,0,0,0,0,30
74216,Présilly (74),Présilly,31,0,0,0,0,0,31
74218,Publier (74),Publier,875,44,4,2,18,0,943
74219,Quintal (74),Quintal,25,0,0,0,0,0,25
74220,Reignier-Ésery (74),Reignier-Ésery,578,7,5,1,3,0,594
74221,Le Reposoir (74),Le Reposoir,20,0,0,0,0,0,20
74224,La Roche-sur-Foron (74),La Roche-sur-Foron,838,7,12,5,14,0,876
74225,Rumilly (74),Rumilly,1363,10,18,11,12,0,1414
74226,Saint-André-de-Boëge (74),Saint-André-de-Boëge,,,,,,,6
